episode,game,exploration,explored,safe,MA_explored,MA_safe
128,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,27.3,-0.6,33.4,-12.5,16.0
129,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,27.1,6.7,23.6,-12.3,16.8
130,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,26.8,2.2,30.7,-11.7,17.0
131,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,26.5,19.5,25.4,-11.1,17.1
132,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,26.3,2.5,15.5,-10.9,17.1
133,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,26.0,17.2,31.5,-10.6,17.1
134,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,25.7,27.9,40.0,-10.4,17.1
135,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,25.5,2.2,27.2,-10.2,17.7
136,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,25.2,10.5,23.5,-9.9,17.7
137,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,25.0,-1.6,16.9,-9.6,17.7
138,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,24.7,-7.1,2.8,-9.5,17.7
139,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,24.5,0.6,16.1,-9.4,17.1
140,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,24.2,16.2,33.6,-9.1,17.7
141,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,24.0,-6.3,25.8,-8.2,17.7
142,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,23.8,19.7,36.7,-7.5,17.7
143,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,23.5,11.2,41.6,-7.3,17.7
144,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,23.3,36.8,49.8,-7.3,17.7
145,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,23.1,-0.6,7.2,-6.7,17.7
146,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,22.8,-3.6,16.9,-6.2,17.7
147,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,22.6,17.0,24.8,-5.6,17.7
148,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,22.4,3.7,23.6,-5.6,18.5
149,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,22.1,-0.0,27.5,-5.1,18.8
150,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,21.9,-19.5,13.3,-5.1,18.8
151,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,21.7,1.2,4.7,-4.4,18.8
152,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,21.5,7.3,20.3,-3.8,18.8
153,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,21.3,-4.2,34.9,-3.8,18.8
154,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,21.1,17.7,30.8,-2.8,19.1
155,[55]_concat sin + base: 100+30sin((2pi/140)t)+0e,20.8,22.1,36.4,-2.8,19.1
156,[56]_concat sin + base: 100+49sin((2pi/153)t)+0e,20.6,11.2,13.3,-1.8,19.1
157,[57]_concat sin + base: 100+44sin((2pi/103)t)+0e,20.4,9.4,29.6,-1.7,19.8
158,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,20.2,-20.5,6.6,-1.7,19.8
159,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,20.0,17.4,28.0,-1.2,20.3
160,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,19.8,-12.8,-4.3,-1.2,20.3
161,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,19.6,-3.5,13.1,-1.2,20.3
162,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,19.4,6.9,23.3,-0.7,20.5
163,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,19.2,14.0,32.2,-0.6,20.5
164,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,19.0,-10.0,7.0,-0.6,20.5
165,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,18.9,-1.4,0.1,-0.6,20.5
166,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,18.7,-14.9,-0.4,-0.6,20.5
167,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,18.5,-11.8,-2.3,-0.6,20.5
168,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,18.3,17.8,26.0,-0.6,20.9
169,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,18.1,19.4,34.3,-0.3,20.9
170,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,17.9,17.0,27.5,0.3,21.3
171,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,17.8,29.8,33.5,0.9,21.3
172,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,17.6,6.7,13.6,1.2,21.3
173,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,17.4,25.8,36.3,1.5,21.3
174,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,17.2,6.7,16.0,1.8,21.3
175,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,17.1,9.3,14.4,2.0,21.3
176,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,16.9,11.4,20.8,2.1,21.3
177,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,16.7,-13.6,7.6,2.1,21.3
178,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,16.5,31.4,33.8,2.1,21.3
179,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,16.4,4.1,22.5,2.2,22.1
180,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,16.2,27.3,40.0,2.3,22.1
181,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,16.1,1.5,19.3,2.3,22.1
182,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,15.9,5.2,18.1,2.8,22.1
183,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,15.7,18.9,20.8,3.4,21.3
184,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,15.6,-21.8,4.1,3.4,21.3
185,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,15.4,23.9,34.4,3.4,21.3
186,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,15.3,15.0,15.1,3.9,21.3
187,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,15.1,12.0,30.7,3.9,22.1
188,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,15.0,-5.4,-11.2,3.9,22.1
189,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,14.8,13.7,7.0,4.1,22.1
190,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,14.7,5.7,29.0,4.7,22.9
191,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,14.5,32.5,42.3,4.7,22.9
192,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,14.4,19.4,16.7,5.5,22.9
193,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,14.2,7.2,16.9,6.2,22.9
194,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,14.1,-3.8,15.6,6.2,22.9
195,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,13.9,34.6,38.0,6.7,23.4
196,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,13.8,23.1,19.8,6.7,23.4
197,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,13.7,-3.5,26.8,6.7,23.6
198,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,13.5,16.1,33.0,6.8,23.6
199,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,13.4,0.3,17.2,6.8,23.6
