episode,game,exploration,explored,safe,MA_explored,MA_safe
164,['100+37sin((2pi/35)t)+0e'],10.0,-18.5,-11.4,-33.0,-34.4
165,['100+78sin((2pi/37)t)+0e'],10.0,-53.5,-49.1,-33.0,-34.4
166,['100+34sin((2pi/36)t)+0e'],10.0,-10.1,-7.5,-33.0,-34.3
167,['100+12sin((2pi/35)t)+0e'],10.0,-13.3,-31.0,-33.0,-34.3
168,['100+49sin((2pi/35)t)+0e'],10.0,-19.2,-11.5,-31.9,-34.1
169,['100+76sin((2pi/36)t)+0e'],10.0,-88.9,-106.5,-31.9,-34.1
170,['100+47sin((2pi/36)t)+0e'],10.0,-7.8,-25.0,-30.6,-34.1
171,['100+61sin((2pi/39)t)+0e'],10.0,-24.6,-12.1,-30.6,-34.1
172,['100+29sin((2pi/37)t)+0e'],10.0,-37.1,-33.4,-31.9,-33.8
173,['100+68sin((2pi/35)t)+0e'],10.0,-36.5,-26.0,-33.0,-33.8
174,['100+19sin((2pi/38)t)+0e'],10.0,-44.1,-70.5,-33.4,-34.1
175,['100+16sin((2pi/35)t)+0e'],10.0,-251.5,-259.9,-33.7,-34.3
176,['100+9sin((2pi/35)t)+0e'],10.0,-24.4,-3.9,-33.7,-34.1
177,['100+19sin((2pi/39)t)+0e'],10.0,-38.6,-31.6,-34.3,-34.1
178,['100+44sin((2pi/36)t)+0e'],10.0,-60.0,-74.0,-34.3,-34.3
179,['100+30sin((2pi/38)t)+0e'],10.0,-89.9,-78.0,-34.3,-34.3
180,['100+72sin((2pi/37)t)+0e'],10.0,-10.8,-15.9,-33.7,-34.1
181,['100+66sin((2pi/38)t)+0e'],10.0,-252.1,-289.2,-34.3,-34.3
182,['100+35sin((2pi/37)t)+0e'],10.0,-46.0,-44.9,-35.2,-34.4
183,['100+78sin((2pi/35)t)+0e'],10.0,-19.0,-36.7,-34.3,-34.4
184,['100+36sin((2pi/39)t)+0e'],10.0,-29.9,-39.2,-34.3,-35.5
185,['100+49sin((2pi/36)t)+0e'],10.0,-196.1,-194.1,-35.2,-36.5
186,['100+22sin((2pi/38)t)+0e'],10.0,-30.6,-26.7,-35.2,-36.5
187,['100+32sin((2pi/35)t)+0e'],10.0,-11.7,-23.0,-35.2,-36.5
