episode,game,exploration,explored,safe,MA_explored,MA_safe
132,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,10.0,-0.9,-1.2,10.0,20.2
133,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,10.0,23.2,21.8,10.1,20.4
134,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,10.0,38.7,43.5,10.1,20.4
135,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,10.0,21.8,25.5,10.3,20.4
136,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,10.0,20.7,30.3,10.3,20.4
137,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,10.0,5.4,19.0,10.3,20.4
138,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,10.0,-3.7,4.5,10.3,20.4
139,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,10.0,12.1,27.2,10.7,20.5
140,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,10.0,21.6,28.9,10.7,20.5
141,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,10.0,11.6,21.4,11.0,20.5
142,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,10.0,29.1,26.2,11.9,21.0
143,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,10.0,42.0,36.8,11.9,21.0
144,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,10.0,42.9,51.9,11.9,21.0
145,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,10.0,2.9,12.4,11.9,21.0
146,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,10.0,22.4,31.9,11.9,21.0
147,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,10.0,31.0,25.6,11.9,21.4
148,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,10.0,20.6,27.2,11.9,21.4
149,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,10.0,14.7,19.2,12.5,21.4
150,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,10.0,-2.0,17.0,11.9,21.4
151,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,10.0,13.0,16.8,12.6,21.4
152,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,10.0,34.1,32.9,13.3,21.5
153,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,10.0,22.8,23.0,13.9,21.6
154,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,10.0,0.1,26.6,13.3,21.6
155,[55]_concat sin + base: 100+30sin((2pi/140)t)+0e,10.0,29.6,41.8,13.3,21.6
156,[56]_concat sin + base: 100+49sin((2pi/153)t)+0e,10.0,27.2,39.4,13.9,21.7
157,[57]_concat sin + base: 100+44sin((2pi/103)t)+0e,10.0,9.8,22.6,13.9,22.2
158,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,10.0,1.4,4.5,13.9,22.2
159,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,10.0,15.2,11.1,14.4,21.7
